,PlayerName,IdPlayer,IdTeam,ShirtNumber,Status,SpecialStatus,Captain,PositionType,Date,Group,Stage,TeamID,TeamName,TeamAbbr,IdMatch,GameNum,MatchTime,Assists,AttemptAtGoal,AttemptAtGoalAgainst,AttemptAtGoalAgainstOnTarget,AttemptAtGoalBlocked,AttemptAtGoalFromBallProgression,AttemptAtGoalFromCorner,AttemptAtGoalFromCross,AttemptAtGoalFromFreeKicks,AttemptAtGoalFromOther,AttemptAtGoalFromPass,AttemptAtGoalFromPenalty,AttemptAtGoalFromRebound,AttemptAtGoalInsideThePenaltyArea,AttemptAtGoalInsideThePenaltyAreaOnTarget,AttemptAtGoalOffTarget,AttemptAtGoalOnTarget,AttemptAtGoalOutsideThePenaltyArea,AttemptAtGoalOutsideThePenaltyAreaOnTarget,AttemptedBallProgressions,AttemptedSwitchesOfPlay,AvgSpeed,CleanSheets,CompletedBallProgressions,CompletedSwitchesOfPlay,Corners,Crosses,CrossesCompleted,DefensivePressuresApplied,DirectDefensivePressuresApplied,DirectFreeKicks,DirectRedCards,DistanceHighSpeedRunning,DistanceHighSpeedSprinting,DistanceJogging,DistanceLowSpeedSprinting,DistanceWalking,DistributionsCompletedUnderPressure,DistributionsUnderPressure,ForcedTurnovers,FoulsAgainst,FoulsFor,FreeKicks,GoalkeeperDefensiveActionsInsidePenaltyArea,GoalkeeperDefensiveActionsOutsidePenaltyArea,GoalkeeperSavePercentage,GoalkeeperSaves,GoalkeeperSavesOnTarget,GoalKicks,Goals,GoalsConceded,GoalsConcededFromAttemptAtGoalAgainst,GoalsFromDirectFreeKicks,GoalsInsideThePenaltyArea,GoalsOutsideThePenaltyArea,HeadedAttemptAtGoal,IndirectFreeKicks,IndirectRedCards,LinebreaksAttempted,LinebreaksAttemptedAllLines,LinebreaksAttemptedAttackingAndMidfieldLine,LinebreaksAttemptedAttackingLine,LinebreaksAttemptedAttackingLineCompleted,LinebreaksAttemptedAttackingLineCompletedOnly,LinebreaksAttemptedAttackingLineOnly,LinebreaksAttemptedCompleted,LinebreaksAttemptedDefensiveLine,LinebreaksAttemptedDefensiveLineCompleted,LinebreaksAttemptedDefensiveLineCompletedOnly,LinebreaksAttemptedDefensiveLineOnly,LinebreaksAttemptedMidfieldAndDefensiveLine,LinebreaksAttemptedMidfieldLine,LinebreaksAttemptedMidfieldLineCompleted,LinebreaksAttemptedMidfieldLineCompletedOnly,LinebreaksAttemptedMidfieldLineOnly,LinebreaksAttemptedUnderPressure,LinebreaksCompletedAllLines,LinebreaksCompletedAttackingAndMidfieldLine,LinebreaksCompletedMidfieldAndDefensiveLine,LinebreaksCompletedUnderPressure,MatchesPlayed,NumberOfInvolvements,NumberOfPossessionSequences,NumberOfShotEndingSequences,OffersToReceiveInBehind,OffersToReceiveInBetween,OffersToReceiveInFront,OffersToReceiveInside,OffersToReceiveOutside,OffersToReceiveTotal,Offsides,OwnGoals,Passes,PassesCompleted,Penalties,PenaltiesScored,ReceivedOffersToReceive,ReceptionsBetweenMidfieldAndDefensiveLine,ReceptionsInBehind,ReceptionsUnderDirectPressure,ReceptionsUnderIndirectPressure,ReceptionsUnderNoPressure,ReceptionsUnderPressure,RedCards,SpeedRuns,Sprints,SubstitutionsIn,SubstitutionsOut,TakeOnsCompleted,Threat,ThrowIns,TimePlayed,TopSpeed,TotalDistance,XG,YellowCards
0,Raul RANGEL,485070,43911,1,1,,False,0,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.25056791305542,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.94000244140625,0.0,1076.4400634765625,23.729999542236328,4175.27001953125,9.0,11.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,7.0,11.0,9.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0,11.0,0.0,5.0,0.0,8.0,1.0,70.0,31.0,3.0,0.0,0.0,13.0,7.0,6.0,13.0,0.0,0.0,33.0,29.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,18.0,3.0,0.0,0.0,0.0,0.030351174995303154,0.0,101.00468333333333,23.157072067260742,5476.3798828125,0.0,0.0
1,Cesar MONTES,395516,43911,3,1,,True,1,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.295722007751465,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,840.5001220703125,86.04000091552734,3690.93994140625,300.94000244140625,3627.47998046875,16.0,20.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,2.0,13.0,10.0,8.0,8.0,14.0,3.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,3.0,11.0,1.0,1.0,0.0,5.0,1.0,142.0,47.0,2.0,1.0,0.0,5.0,2.0,4.0,6.0,0.0,0.0,65.0,60.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,59.0,5.0,1.0,72.0,25.0,0.0,0.0,0.0,0.03136115521192551,0.0,95.1094,30.0997371673584,8545.900390625,0.0,0.0
2,Johan VASQUEZ,425701,43911,5,1,,False,1,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.963460445404053,1.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1151.5699462890625,100.18000793457031,4232.830078125,455.1800231933594,4107.18994140625,24.0,29.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,12.0,10.0,10.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,3.0,8.0,0.0,0.0,0.0,3.0,1.0,168.0,47.0,3.0,0.0,3.0,19.0,3.0,19.0,22.0,0.0,0.0,82.0,77.0,0.0,0.0,15.0,3.0,0.0,0.0,10.0,69.0,10.0,0.0,102.0,33.0,0.0,0.0,0.0,0.05817747861146927,0.0,101.00468333333333,27.947298049926758,10046.94921875,0.0,0.0
3,Israel REYES,441261,43911,15,1,,False,1,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.094297885894775,1.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,3.0,0.0,1379.35009765625,177.4300079345703,4245.73974609375,409.9499816894531,4054.72998046875,23.0,27.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,1.0,4.0,9.0,6.0,3.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,4.0,10.0,0.0,3.0,0.0,7.0,1.0,101.0,44.0,5.0,5.0,11.0,14.0,4.0,26.0,30.0,0.0,0.0,51.0,47.0,0.0,0.0,10.0,2.0,1.0,1.0,8.0,35.0,9.0,0.0,117.0,27.0,0.0,0.0,0.0,0.1005924716591835,7.0,101.00468333333333,30.032339096069336,10267.19921875,0.02048644796013832,0.0
4,Jesus GALLARDO,402772,43911,23,1,,False,1,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,5.752878665924072,1.0,0.0,1.0,0.0,2.0,0.0,16.0,2.0,0.0,0.0,1022.4300537109375,185.22000122070312,3932.39013671875,357.05999755859375,4195.4501953125,13.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,4.0,2.0,0.0,1.0,6.0,3.0,1.0,1.0,2.0,0.0,6.0,3.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,1.0,109.0,43.0,3.0,9.0,13.0,10.0,6.0,26.0,32.0,0.0,0.0,54.0,46.0,0.0,0.0,10.0,16.0,1.0,1.0,6.0,41.0,7.0,0.0,86.0,29.0,0.0,0.0,0.0,0.22967220842838287,13.0,101.00468333333333,30.290681838989258,9692.5498046875,0.03632623702287674,0.0
5,Erik LIRA,419518,43911,6,1,,False,2,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.689777374267578,1.0,0.0,1.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,1145.5699462890625,81.30000305175781,4287.6201171875,363.3999938964844,2999.06982421875,22.0,25.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,7.0,7.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,4.0,6.0,0.0,1.0,0.0,5.0,1.0,92.0,28.0,4.0,0.0,22.0,27.0,39.0,10.0,49.0,0.0,0.0,46.0,42.0,0.0,0.0,23.0,0.0,0.0,0.0,21.0,24.0,21.0,0.0,103.0,27.0,0.0,1.0,0.0,0.0368334986269474,0.0,79.54876666666667,31.413299560546875,8876.9599609375,0.0,0.0
6,Alvaro FIDALGO,416576,43911,8,1,,False,2,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.406867504119873,1.0,4.0,0.0,0.0,0.0,0.0,17.0,3.0,1.0,0.0,1623.239990234375,143.3699951171875,3740.909912109375,566.1499633789062,2509.169921875,13.0,20.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,3.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,4.0,5.0,0.0,0.0,0.0,2.0,1.0,73.0,29.0,4.0,4.0,27.0,12.0,23.0,20.0,43.0,0.0,0.0,34.0,30.0,0.0,0.0,15.0,9.0,0.0,0.0,5.0,31.0,5.0,0.0,132.0,49.0,0.0,1.0,0.0,0.1659030020236969,0.0,69.4759,30.76323127746582,8582.83984375,0.0,0.0
7,Brian GUTIERREZ,464533,43911,26,1,,False,2,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,6.466137886047363,1.0,0.0,0.0,1.0,1.0,0.0,17.0,2.0,2.0,0.0,1109.969970703125,196.6699981689453,2832.449951171875,434.64996337890625,2912.820068359375,17.0,21.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,6.0,4.0,0.0,0.0,0.0,3.0,1.0,60.0,30.0,8.0,10.0,21.0,6.0,26.0,11.0,37.0,0.0,0.0,24.0,21.0,0.0,0.0,15.0,11.0,1.0,1.0,13.0,16.0,14.0,0.0,106.0,39.0,0.0,1.0,0.0,0.7366535663604736,0.0,69.40403333333333,31.716676712036133,7486.560546875,0.30657273530960083,1.0
8,Raul JIMENEZ,356731,43911,9,1,,False,3,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,5.642728328704834,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,928.1099853515625,116.86000061035156,2730.449951171875,389.97998046875,3337.630126953125,13.0,17.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,47.0,23.0,7.0,13.0,12.0,0.0,21.0,4.0,25.0,1.0,0.0,17.0,14.0,0.0,0.0,8.0,18.0,3.0,3.0,14.0,8.0,17.0,0.0,67.0,33.0,0.0,1.0,0.0,3.487812042236328,0.0,79.44065,33.30720520019531,7503.02978515625,0.7761820554733276,0.0
9,Julian QUINONES,429157,43911,16,1,,False,3,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,400021443,1,98',0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,6.440661907196045,1.0,4.0,1.0,0.0,1.0,0.0,39.0,1.0,0.0,0.0,1324.02001953125,167.9199981689453,3649.330078125,534.8400268554688,3156.099853515625,29.0,41.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,1.0,10.0,10.0,9.0,9.0,12.0,0.0,0.0,1.0,12.0,1.0,86.0,36.0,8.0,17.0,30.0,7.0,33.0,21.0,54.0,0.0,0.0,34.0,28.0,0.0,0.0,18.0,20.0,1.0,2.0,31.0,9.0,33.0,0.0,115.0,42.0,0.0,1.0,4.0,0.9572175145149231,0.0,82.2199,32.93880844116211,8832.2099609375,0.6398059129714966,0.0
