,Date,Group,Stage,TeamID,TeamName,TeamAbbr,Formation,IdMatch,GameNum,StatsId,MatchTime,Assists,AttemptAtGoal,AttemptAtGoalAgainst,AttemptAtGoalAgainstOnTarget,AttemptAtGoalBlocked,AttemptAtGoalFromBallProgression,AttemptAtGoalFromCorner,AttemptAtGoalFromCross,AttemptAtGoalFromFreeKicks,AttemptAtGoalFromOther,AttemptAtGoalFromPass,AttemptAtGoalFromPenalty,AttemptAtGoalFromRebound,AttemptAtGoalInsideThePenaltyArea,AttemptAtGoalInsideThePenaltyAreaOnTarget,AttemptAtGoalOffTarget,AttemptAtGoalOnTarget,AttemptAtGoalOutsideThePenaltyArea,AttemptAtGoalOutsideThePenaltyAreaOnTarget,AttemptedBallProgressions,AttemptedSwitchesOfPlay,AvgSpeed,BallRecoveryTime,CleanSheets,CompletedBallProgressions,CompletedSwitchesOfPlay,Corners,Crosses,CrossesCompleted,DefensivePressuresApplied,DirectDefensivePressuresApplied,DirectFreeKicks,DirectRedCards,DistanceHighSpeedRunning,DistanceHighSpeedSprinting,DistanceJogging,DistanceLowSpeedSprinting,DistanceWalking,DistributionsCompletedUnderPressure,DistributionsUnderPressure,FinalThirdEntriesReceptionCentralChannel,FinalThirdEntriesReceptionInsideLeftChannel,FinalThirdEntriesReceptionInsideRightChannel,FinalThirdEntriesReceptionLeftChannel,FinalThirdEntriesReceptionRightChannel,FinalThirdPitchControl,ForcedTurnovers,FoulsAgainst,FoulsFor,FreeKicks,GoalkeeperDefensiveActionsInsidePenaltyArea,GoalkeeperDefensiveActionsOutsidePenaltyArea,GoalkeeperSavePercentage,GoalkeeperSaves,GoalkeeperSavesOnTarget,GoalKicks,Goals,GoalsConceded,GoalsConcededFromAttemptAtGoalAgainst,GoalsFromDirectFreeKicks,GoalsInsideThePenaltyArea,GoalsOutsideThePenaltyArea,HeadedAttemptAtGoal,IndirectFreeKicks,IndirectRedCards,LinebreaksAttempted,LinebreaksAttemptedAllLines,LinebreaksAttemptedAttackingAndMidfieldLine,LinebreaksAttemptedAttackingLine,LinebreaksAttemptedAttackingLineCompleted,LinebreaksAttemptedAttackingLineCompletedOnly,LinebreaksAttemptedAttackingLineOnly,LinebreaksAttemptedCompleted,LinebreaksAttemptedDefensiveLine,LinebreaksAttemptedDefensiveLineCompleted,LinebreaksAttemptedDefensiveLineCompletedOnly,LinebreaksAttemptedDefensiveLineOnly,LinebreaksAttemptedMidfieldAndDefensiveLine,LinebreaksAttemptedMidfieldLine,LinebreaksAttemptedMidfieldLineCompleted,LinebreaksAttemptedMidfieldLineCompletedOnly,LinebreaksAttemptedMidfieldLineOnly,LinebreaksAttemptedUnderPressure,LinebreaksCompletedAllLines,LinebreaksCompletedAttackingAndMidfieldLine,LinebreaksCompletedMidfieldAndDefensiveLine,LinebreaksCompletedUnderPressure,MatchesPlayed,NumberOfInvolvements,NumberOfPossessionSequences,NumberOfShotEndingSequences,OffersToReceiveInBehind,OffersToReceiveInBetween,OffersToReceiveInFront,OffersToReceiveInside,OffersToReceiveOutside,OffersToReceiveTotal,Offsides,OwnGoals,Passes,PassesCompleted,Penalties,PenaltiesScored,PhaseAggregateAttackingTransition,PhaseAggregateBuildUpOpposed,PhaseAggregateBuildUpUnopposed,PhaseAggregateCounterattack,PhaseAggregateCounterPress,PhaseAggregateDefensiveTransition,PhaseAggregateFinalThird,PhaseAggregateHighBlock,PhaseAggregateHighPress,PhaseAggregateLongBall,PhaseAggregateLowBlock,PhaseAggregateLowPress,PhaseAggregateMidBlock,PhaseAggregateMidPress,PhaseAggregateProgression,PhaseAggregateRecovery,PhaseAggregateSetPieces,PitchControl,Possession,ReceivedOffersToReceive,ReceptionsBetweenMidfieldAndDefensiveLine,ReceptionsInBehind,ReceptionsUnderDirectPressure,ReceptionsUnderIndirectPressure,ReceptionsUnderNoPressure,ReceptionsUnderPressure,RedCards,SpeedRuns,Sprints,SubstitutionsIn,SubstitutionsOut,TakeOnsCompleted,Threat,ThrowIns,TimePlayed,TopSpeed,TotalDistance,XG,YellowCards
0,2026-06-11T19:00:00Z,Group A,First Stage,43911,Mexico,MEX,4-1-2-3,400021443,1,151600,98',2.0,16.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,6.0,0.0,0.0,9.0,3.0,8.0,4.0,7.0,1.0,23.0,9.0,5.830074310302734,14.377666473388672,1.0,15.0,8.0,3.0,13.0,3.0,170.0,26.0,11.0,1.0,14067.6103515625,1761.9599609375,43040.2109375,5271.1298828125,43169.53125,240.0,307.0,7.0,7.0,7.0,16.0,12.0,62.0,31.0,12.0,11.0,12.0,5.0,4.0,1.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,170.0,9.0,18.0,65.0,50.0,35.0,38.0,121.0,19.0,10.0,5.0,8.0,2.0,86.0,61.0,44.0,57.0,93.0,3.0,12.0,2.0,63.0,1.0,0.0,0.0,0.0,97.0,179.0,148.0,213.0,211.0,424.0,1.0,0.0,547.0,495.0,0.0,0.0,9.591907262802124,12.692920863628387,47.00106084346771,0.5420137196779251,8.179724961519241,12.499812245368958,10.7565738260746,6.721639633178711,8.697353303432465,2.6406582444906235,10.975518077611923,0.0,25.175678730010986,3.265269100666046,15.907235443592072,4.795582219958305,4.990404844284058,52.0,0.5709360241889954,166.0,116.0,11.0,12.0,151.0,401.0,163.0,1.0,1200.0,422.0,5.0,5.0,7.0,65.0,21.0,101.00468333333333,33.30720520019531,107310.4375,1.7793734073638916,1.0
1,2026-06-11T19:00:00Z,Group A,First Stage,43883,South Africa,RSA,5-3-2,400021443,1,151600,98',0.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,8.0,7.0,5.544981479644775,22.447980880737305,0.0,3.0,6.0,1.0,8.0,0.0,306.0,45.0,11.0,2.0,12432.0,1773.6700439453125,37716.2109375,5081.4697265625,40056.828125,109.0,154.0,3.0,4.0,2.0,6.0,11.0,34.0,32.0,11.0,10.0,13.0,23.0,21.0,0.5,5.0,2.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,130.0,7.0,20.0,55.0,38.0,27.0,28.0,70.0,12.0,3.0,0.0,4.0,1.0,63.0,29.0,17.0,35.0,53.0,2.0,9.0,1.0,30.0,1.0,0.0,0.0,0.0,60.0,85.0,102.0,124.0,123.0,247.0,1.0,0.0,351.0,290.0,0.0,0.0,12.499812245368958,13.352994620800018,42.78857111930847,1.6642339527606964,6.73179030418396,9.591907262802124,6.863084435462952,4.86791618168354,5.863139033317566,6.128774955868721,14.394496381282806,0.9870570152997971,29.834231734275818,3.026498481631279,14.278405904769897,1.7179079353809357,4.992702230811119,47.0,0.3609120845794678,94.0,38.0,5.0,10.0,117.0,226.0,127.0,2.0,1121.0,435.0,4.0,4.0,0.0,35.0,11.0,101.00468333333333,34.37017059326172,97060.1796875,0.10333644598722458,2.0
2,2026-06-12T02:00:00Z,Group A,First Stage,43822,Korea Republic,KOR,3-4-3,400021441,2,151608,97',2.0,15.0,7.0,4.0,2.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,1.0,10.0,5.0,6.0,6.0,5.0,1.0,27.0,6.0,6.1260480880737305,12.778725624084473,0.0,21.0,5.0,4.0,17.0,6.0,147.0,22.0,16.0,0.0,14834.0400390625,1977.830078125,47265.33203125,5439.4599609375,42288.69921875,245.0,319.0,8.0,8.0,14.0,13.0,15.0,55.0,30.0,9.0,16.0,18.0,13.0,8.0,0.75,3.0,3.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,161.0,11.0,15.0,56.0,38.0,28.0,30.0,106.0,20.0,10.0,4.0,7.0,2.0,85.0,58.0,46.0,57.0,96.0,4.0,6.0,2.0,55.0,1.0,0.0,0.0,0.0,89.0,123.0,174.0,191.0,195.0,386.0,2.0,0.0,542.0,483.0,0.0,0.0,10.24179607629776,19.294041395187378,37.89291977882385,1.8361398950219154,11.33035346865654,16.77529513835907,13.772667944431305,5.704997852444649,3.683055564761162,4.675086215138435,19.561153650283813,0.476229190826416,12.500609457492828,3.2539617270231247,12.33268603682518,4.9378301948308945,7.613342255353928,55.0,0.5578261613845825,186.0,96.0,14.0,26.0,194.0,332.0,220.0,0.0,1257.0,434.0,5.0,5.0,11.0,55.0,26.0,99.60738333333333,35.170654296875,111805.359375,1.7696956396102905,1.0
3,2026-06-12T02:00:00Z,Group A,First Stage,43995,Czechia,CZE,5-2-3,400021441,2,151608,97',1.0,7.0,15.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,5.0,3.0,2.0,4.0,2.0,1.0,10.0,4.0,6.447492599487305,18.423662185668945,0.0,7.0,2.0,5.0,15.0,4.0,301.0,54.0,9.0,0.0,16895.48046875,1691.469970703125,51301.5703125,6020.41015625,41719.48046875,114.0,178.0,8.0,5.0,7.0,7.0,11.0,41.0,40.0,16.0,9.0,11.0,21.0,18.0,0.6666666865348816,5.0,4.0,8.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,150.0,7.0,27.0,59.0,26.0,20.0,25.0,61.0,13.0,5.0,3.0,5.0,1.0,78.0,30.0,23.0,43.0,74.0,1.0,5.0,1.0,29.0,1.0,0.0,0.0,0.0,82.0,66.0,49.0,95.0,102.0,197.0,2.0,0.0,327.0,241.0,0.0,0.0,16.77529513835907,12.971962988376617,31.678178906440735,1.110117882490158,7.354274392127991,10.24179607629776,11.5887850522995,5.218048393726349,5.272020772099495,10.16334816813469,25.710275769233704,0.8041882887482643,18.099093437194824,7.1999140083789825,12.729784846305847,4.085708037018776,7.873222231864929,44.0,0.3416551649570465,67.0,86.0,5.0,16.0,113.0,201.0,129.0,0.0,1445.0,472.0,4.0,4.0,4.0,45.0,16.0,99.60738333333333,33.99915313720703,117628.40625,0.6367324590682983,0.0
4,2026-06-12T19:00:00Z,Group B,First Stage,43899,Canada,CAN,4-4-2,400021449,3,151614,97',1.0,13.0,8.0,3.0,3.0,0.0,1.0,1.0,0.0,4.0,6.0,0.0,0.0,10.0,4.0,6.0,4.0,3.0,0.0,30.0,3.0,6.0717034339904785,8.511474609375,0.0,17.0,2.0,9.0,30.0,5.0,160.0,38.0,20.0,0.0,15024.8203125,2628.070068359375,44883.21875,5775.86962890625,43026.80859375,143.0,247.0,9.0,15.0,5.0,22.0,23.0,67.0,50.0,10.0,20.0,20.0,15.0,12.0,0.6666666865348816,2.0,2.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,190.0,10.0,20.0,52.0,32.0,16.0,22.0,110.0,31.0,16.0,6.0,15.0,6.0,107.0,62.0,42.0,71.0,107.0,6.0,10.0,4.0,61.0,1.0,0.0,0.0,0.0,128.0,114.0,52.0,154.0,140.0,294.0,1.0,0.0,412.0,316.0,0.0,0.0,16.98407083749771,9.993216395378113,30.15049397945404,1.6783075407147408,20.111002027988434,36.46423816680908,19.241495430469513,4.626769572496414,5.539903044700623,2.780011110007763,4.944159835577011,1.0268508456647396,10.98136380314827,5.601004883646965,16.735340654850006,6.060966104269028,11.251947283744812,61.0,0.5281291604042053,86.0,119.0,15.0,28.0,138.0,270.0,166.0,0.0,1275.0,452.0,5.0,5.0,8.0,68.0,32.0,100.3307,34.619014739990234,111338.7890625,1.49470853805542,2.0
5,2026-06-12T19:00:00Z,Group B,First Stage,44037,Bosnia and Herzegovina,BIH,4-4-2,400021449,3,151614,97',1.0,8.0,13.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,4.0,3.0,3.0,1.0,22.0,2.0,5.972912788391113,12.028847694396973,0.0,8.0,1.0,4.0,8.0,5.0,203.0,35.0,10.0,0.0,12892.1201171875,2441.869873046875,43965.73046875,5216.72998046875,45011.62890625,120.0,202.0,11.0,2.0,4.0,8.0,11.0,29.0,51.0,20.0,10.0,11.0,28.0,20.0,0.6666666865348816,2.0,2.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,154.0,9.0,21.0,56.0,23.0,16.0,26.0,70.0,15.0,4.0,1.0,5.0,1.0,83.0,43.0,36.0,52.0,90.0,3.0,4.0,0.0,44.0,1.0,0.0,0.0,0.0,33.0,65.0,28.0,74.0,52.0,126.0,0.0,0.0,279.0,186.0,0.0,0.0,36.46423816680908,8.136732131242752,16.21575802564621,3.431888297200203,12.543340027332306,16.98407083749771,4.7659460455179214,1.4572132378816605,2.1996382623910904,9.82721745967865,31.233355402946472,0.609265873208642,14.372393488883972,2.452138066291809,11.538069695234299,5.242198705673218,10.640212148427963,38.0,0.29891595244407654,47.0,75.0,5.0,34.0,130.0,116.0,164.0,0.0,1091.0,397.0,5.0,5.0,5.0,32.0,26.0,100.3307,34.79839324951172,109528.078125,0.7619218230247498,3.0
6,2026-06-13T01:00:00Z,Group D,First Stage,43921,USA,USA,4-2-3-1,400021458,4,151625,99',3.0,16.0,9.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,8.0,0.0,0.0,13.0,6.0,6.0,6.0,3.0,0.0,52.0,4.0,6.309885501861572,11.23277759552002,0.0,41.0,4.0,3.0,23.0,5.0,204.0,39.0,16.0,0.0,16816.0703125,1885.679931640625,49866.76953125,6190.14990234375,45148.02734375,253.0,360.0,12.0,9.0,6.0,30.0,27.0,74.0,50.0,13.0,16.0,18.0,11.0,10.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,223.0,15.0,24.0,79.0,60.0,35.0,40.0,163.0,38.0,25.0,13.0,21.0,2.0,106.0,78.0,51.0,65.0,109.0,10.0,15.0,2.0,75.0,1.0,0.0,0.0,0.0,127.0,203.0,141.0,253.0,218.0,471.0,2.0,0.0,602.0,520.0,0.0,0.0,14.711011946201324,11.97240725159645,37.1805876493454,1.1047055944800377,19.025811553001404,26.084929704666138,21.85661494731903,7.56702721118927,8.333055675029755,2.159152552485466,4.22980859875679,0.3213988384231925,14.402997493743896,7.495420426130295,18.676520884037018,4.269775003194809,6.588815152645111,65.0,0.5947371125221252,160.0,159.0,21.0,37.0,203.0,405.0,240.0,0.0,1440.0,511.0,4.0,4.0,25.0,75.0,23.0,103.58673333333334,33.967193603515625,119906.6953125,1.8770164251327515,1.0
7,2026-06-13T01:00:00Z,Group D,First Stage,43928,Paraguay,PAR,4-4-2,400021458,4,151625,99',1.0,9.0,16.0,6.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,4.0,1.0,5.0,0.0,17.0,8.0,6.016819000244141,17.374265670776367,0.0,15.0,5.0,1.0,5.0,0.0,360.0,75.0,13.0,0.0,15132.640625,1704.830078125,46002.38671875,6072.0498046875,45398.1484375,143.0,213.0,4.0,2.0,4.0,7.0,5.0,22.0,49.0,17.0,13.0,15.0,31.0,24.0,0.5,4.0,3.0,7.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,130.0,6.0,19.0,56.0,29.0,23.0,31.0,60.0,7.0,3.0,0.0,0.0,1.0,67.0,28.0,21.0,41.0,87.0,2.0,4.0,1.0,45.0,1.0,0.0,0.0,0.0,38.0,89.0,77.0,105.0,99.0,204.0,1.0,1.0,316.0,234.0,0.0,0.0,26.084929704666138,16.40133261680603,20.84762752056122,1.0191506706178188,10.980044305324554,14.811529219150543,6.7943379282951355,2.5661492720246315,3.9329882711172104,7.825145870447159,28.487804532051086,0.5794530734419823,25.324463844299316,3.4668639302253723,15.475437045097351,3.8797732442617416,7.079100608825684,35.0,0.2874166965484619,73.0,44.0,4.0,20.0,119.0,168.0,139.0,0.0,1307.0,466.0,5.0,5.0,9.0,25.0,17.0,103.58673333333334,33.26039505004883,114310.0625,0.6046154499053955,5.0
8,2026-06-13T19:00:00Z,Group B,First Stage,43834,Qatar,QAT,4-2-3-1,400021447,8,151613,98',0.0,6.0,26.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,0.0,13.0,4.0,5.777862071990967,18.406299591064453,0.0,9.0,4.0,3.0,8.0,1.0,294.0,42.0,11.0,0.0,14923.41015625,1616.0399169921875,44462.0703125,4750.27001953125,43487.7890625,100.0,161.0,2.0,4.0,0.0,11.0,8.0,18.0,36.0,12.0,11.0,12.0,52.0,39.0,0.8333333134651184,7.0,5.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,150.0,10.0,25.0,62.0,31.0,20.0,27.0,68.0,16.0,2.0,0.0,5.0,1.0,72.0,35.0,24.0,36.0,74.0,2.0,9.0,0.0,32.0,1.0,0.0,0.0,0.0,61.0,95.0,60.0,116.0,100.0,216.0,0.0,0.0,289.0,213.0,0.0,0.0,18.630267679691315,12.496697157621384,29.45237159729004,2.733187936246395,7.767928391695023,10.417944192886353,8.19130688905716,3.546672686934471,0.46923491172492504,9.17063057422638,46.7757523059845,0.5677277687937021,16.808830201625824,1.9754325971007347,10.871647298336029,2.83399298787117,7.482824474573135,36.0,0.28788086771965027,65.0,47.0,5.0,11.0,83.0,186.0,94.0,0.0,1272.0,377.0,5.0,5.0,4.0,20.0,14.0,103.39293333333333,32.64027404785156,109239.578125,0.5183289051055908,2.0
9,2026-06-13T19:00:00Z,Group B,First Stage,43971,Switzerland,SUI,4-3-3,400021447,8,151613,98',0.0,26.0,6.0,3.0,8.0,0.0,1.0,2.0,0.0,2.0,18.0,1.0,0.0,18.0,7.0,10.0,7.0,8.0,0.0,31.0,5.0,5.785271167755127,13.220937728881836,0.0,15.0,5.0,10.0,34.0,7.0,165.0,33.0,11.0,0.0,14658.890625,1650.3800048828125,42484.58203125,5583.10986328125,45030.87890625,219.0,306.0,17.0,13.0,6.0,30.0,28.0,79.0,42.0,11.0,12.0,11.0,13.0,10.0,1.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,189.0,9.0,11.0,55.0,44.0,31.0,35.0,144.0,30.0,17.0,7.0,14.0,7.0,104.0,83.0,66.0,77.0,77.0,6.0,7.0,4.0,52.0,1.0,0.0,0.0,0.0,118.0,117.0,90.0,202.0,123.0,325.0,1.0,1.0,591.0,542.0,1.0,1.0,10.417944192886353,14.419914782047272,43.72433125972748,0.5259147845208645,13.69236409664154,18.630267679691315,28.390106558799744,9.547165781259537,8.52985829114914,0.7637843489646912,7.572004199028015,0.1387237454764545,13.09618204832077,3.119632788002491,21.82081788778305,7.794953137636185,4.877255484461784,64.0,0.5873742699623108,105.0,143.0,20.0,21.0,153.0,469.0,174.0,0.0,1299.0,449.0,5.0,5.0,8.0,80.0,17.0,103.39293333333333,33.0436897277832,109407.8359375,3.141817092895508,1.0
